ufo_id,location
1740,"['I-10', ' Marker 174', ' NM', ' USA']"
1911,"['Fresno/Stockton (from', ' to Stockton)', ' CA', ' USA']"
1944,"['Ely (60 Miles south of', ' US Highway 93)', ' NV', ' USA']"
1959,"['Las Vegas (60-70 miles north-east of', ' Interstate 15 North)', ' NV', ' USA']"
1983,"['Coober Pedy', ' SA (Approx. 250km south of) (Australia)', ' SA', ' Australia']"
1995,"['Boiling Springs (outside of', ' traveling on highway)', ' PA', ' USA']"
2089,"['Aquaduct (near', ' over desert', ' before entering California)', ' CA', ' USA']"
2175,"['Albuquerque (over', ' from Tent Rocks)', ' NM', ' USA']"
2184,"['West Chester (outside', ' on Rte. 202)', ' PA', ' USA']"
2215,"['Jones/Jasper Co. line', ' Hwy.15N', ' MS', ' USA']"
2231,"['Caldwell (far west of', ' towards Oregon)', ' ID', ' USA']"
2266,"['Whitestone (Queens', ' over)', ' NY', ' USA']"
2270,"['Newark (south of', ' Garden State Pkwy.)', ' NJ', ' USA']"
2276,"['Beaumont (campsite', ' near Fulton)', ' MO', ' USA']"
2340,"['Redding (northeast of', ' out over Millville', ' approximately)', ' CA', ' USA']"
2353,"['Yakima (30 miles east of', ' on Highway 24)', ' WA', ' USA']"
2374,"['Mark Twain Lake', ' Monroe City', ' MO', ' USA']"
2415,"['Sunnyside (Granger', ' on Hwy 82)', ' WA', ' USA']"
2496,"['Granite City (5min.from St.Louis', ' MO.)', ' IL', ' USA']"
2525,"['Phoenix (ouside of', ' at Lake Pleasant)', ' AZ', ' USA']"
2547,"['Carrollton (6 miles west of', ' on Garrett Circle)', ' GA', ' USA']"
2598,"['North Delta Municipality', ' B.C. (Canada)', ' BC', ' Canada']"
2599,"['Detroit/Warm Springs (between', ' Cascade Mts.)', ' OR', ' USA']"
2648,"['Sedro Woolley (So. of', ' high in sky)', ' WA', ' USA']"
2734,"['Washington', ' D.C.', ' DC', ' USA']"
2738,"['Austin/Eureka (between', ' Hwy. 50)', ' NV', ' USA']"
2839,"['Newport (coast range', ' east of)', ' OR', ' USA']"
2966,"['Kent (Auburn', ' Over S. King Co. Valley)', ' WA', ' USA']"
2976,"['MM82/MM83 (between', ' on I-80)', ' PA', ' USA']"
3030,"['Farmington (SE of', ' deserted area', ' Hwy 44)', ' NM', ' USA']"
3064,"['Highway 71 between Clearmont', ' Missouri and Maryville', ' Missou', ' MO', ' USA']"
3071,"['I-64 (MM 94', ' westbound)', ' IN', ' USA']"
3078,"['St. Thomas', ' (U. S. Virgin Islands)', ' VI', ' USA']"
3106,"['Westport (about 10 miles North of', ' US Hwy.1)', ' CA', ' USA']"
3123,"['Sharon (to Brookfield', ' OH)', ' PA', ' USA']"
3131,"['Northeast Cape AFS', ' St Lawrence Island', ' AK', ' USA']"
3138,"['California Valley (cattle country', ' not too distant airbase)', ' CA', ' USA']"
3141,"['Garfield', ' (VIC', ' Australia)', ' Australia']"
3149,"['Pacific Northwest - flying from Portland to L.A.', ' Ca/Or', ' CA', ' USA']"
3269,"['Atlanta (however', ' I have heard entire East Coast)', ' GA', ' USA']"
3395,"['St. Cloud (south of', ' over Lake Tohopekilagia)', ' FL', ' USA']"
3423,"['Stouthill (community', ' nearest city 30 miles', ' TN)', ' TN', ' USA']"
3427,"['Satellite Point (near', ' midway between Orlando & Boca)', ' FL', ' USA']"
3439,"['1-25 corridor (southbound', ' 65 miles north NM border)', ' CO', ' USA']"
3447,"[""Pete's Hole (near"", ' a small lake in the Manti LaSal forest)', ' UT', ' USA']"
3472,"['Melbourne (looking in the SE sky', ' perhaps over Bahama)', ' FL', ' USA']"
3555,"['Flisa', ' Solør', ' Hedemark (Norway)', ' Norway']"
3586,"['Unidentified object sig', ' (VIC', ' Australia)', ' Australia']"
3904,"['Los Angeles (Hollywood Hills', ' north of)', ' CA', ' USA']"
3914,"['Sheridan (10 miles South of', ' at the Sheridan Pipeline)', ' WY', ' USA']"
3918,"['Edmonton (30 mi. east of', ' Hwy 16 East) (Canada)', ' AB', ' Canada']"
3928,"['Anson (just east of', ' on Hwy 180)', ' TX', ' USA']"
3929,"['Gridley (10 miles N of', ' and 20 miles SE Chico)', ' CA', ' USA']"
3964,"['Bayfield (near', ' Lake Superior', ' south shore)', ' WI', ' USA']"
3970,"['Highway 25 (Bronte Rd', ' w of', ' between Britannia Rd.) (Canada)', ' ON', ' Canada']"
4014,"['Milwaukee (80 Miles NW of', ' 6000ft MSL)', ' WI', ' USA']"
4021,"['Emporia/Topeka (between', ' on I-35)', ' KS', ' USA']"
4046,"['Mt. Rainier north side', ' near Cateract Valley', ' WA', ' USA']"
4052,"['Longmont (approx 8 miles south of', ' CO-I25 interchg)', ' CO', ' USA']"
4067,"['Sparta (12 mi.north of', ' countryside)', ' NC', ' USA']"
4068,"['Atlanta (north of', ' Highway 85)', ' GA', ' USA']"
4087,"['Grand Mound (2 miles west of', ' on Highway 30)', ' IA', ' USA']"
4128,"['Sitka (North of', ' St. John Bay)', ' AK', ' USA']"
4158,"['Belgrade (outside', ' Dry CreekRoad)', ' MT', ' USA']"
4207,"['Round Lake Beach', ' Illinois', ' IL', ' USA']"
4212,"['Moab (near', ' in Arches National Park)', ' UT', ' USA']"
4218,"['Burien (looking SW', ' three tree point to Vashon Island)', ' WA', ' USA']"
4233,"['Hwy 30', ' heading west', ' PA', ' USA']"
4267,"['Tinley Park/I-57 (Between', ' on I 80)', ' IL', ' USA']"
4272,"['Cleveland (Massilon Rd.', ' Montrose area)', ' OH', ' USA']"
4285,"['Tukwila (Viewed from', ' looking east)', ' WA', ' USA']"
4287,"['Tucson (due N', ' low  below an a/c)', ' AZ', ' USA']"
4295,"['Cascade Range (central', ' near north sister)', ' OR', ' USA']"
4297,"['Jacksonville (I-10', ' 10 Milemarker 235', ' Heading E)', ' FL', ' USA']"
4298,"['Jacksonville (I-10 Milemarker 238', ' heading E)', ' FL', ' USA']"
4300,"['Jacksonville (Interstate 10', ' heading E)', ' FL', ' USA']"
4314,"['Tulare (close to', ' on I-5)', ' CA', ' USA']"
4330,"['Washington', ' D.C. (Capitol Hill)', ' DC', ' USA']"
4384,"['Las Cruces (on Interstate 10', ' west of)', ' NM', ' USA']"
4414,"['Dayton (Sutro hills area', ' NE)', ' NV', ' USA']"
4420,"['Vancouver (western sky over)', ' moving north to south.', ' WA', ' USA']"
4453,"['Harrisburg (south of', ' on I-83 between Exits 11 & 10)', ' PA', ' USA']"
4479,"['Johnson Creek (Near; on I-94 east', ' heading toward Milwaukee)', ' WI', ' USA']"
4518,"['Goat Island/Isle of Palm (between', ' Intracoastal Waterway)', ' SC', ' USA']"
4519,"['Goat Island/Isle of Palm (between', ' Intracoastal Waterway)', ' SC', ' USA']"
4524,"['Arecibo (just S of', ' Rural central PR)', ' PR', ' USA']"
4527,"['Los Angeles (over I-10', ' on most rural Bayou stretch)', ' CA', ' USA']"
4629,"['Bailey/Fairplay (between', ' off Hy 285)', ' CO', ' USA']"
4677,"['Oxnard/Camarillo (from', ' freeway)', ' CA', ' USA']"
4688,"['I-405 North-bound', ' between 124th and 160th', ' WA', ' USA']"
4689,"['Spokane (About 30 miles SW of', ' I-90', ' maybe MM 254)', ' WA', ' USA']"
4701,"['Chihuahua Mts (north of', ' mexican border)', ' NM', ' USA']"
4729,"['Richlands (4 mi. south of', ' Short Mountain', ' Tazewell Co.)', ' VA', ' USA']"
4736,"['Interstate 80 (westbound', ' location unknown)', ' OH', ' USA']"
4772,"['Spokane (I-90 from mile 238 eastbound', ' over)', ' WA', ' USA']"
4779,"['Duluth (around', ' Lawrenceville exit area)', ' GA', ' USA']"
4790,"['Vass (Town of', ' on hwy #1)', ' NC', ' USA']"
4792,"['Fullerton (from', ' spotted 20 deg. aboveW horizon)', ' CA', ' USA']"
4800,"['Wadley', ' San Luis Potosi', ' SLP (In the desert near) (Mexico)', ' Mexico']"
4977,"['Helena (north of', ' on highway 49)', ' AR', ' USA']"
5049,"['Chesterfield', ' Derbyshire', ' England', ' United Kingdom']"
5055,"['Colorado Springs (south of', ' on Hwy 115 near the co. line)', ' CO', ' USA']"
5084,"['I-90 (westbound', ' just before the mountains)', ' WA', ' USA']"
5088,"['Melbourne (VIC', ' Australia)', ' VI', ' Australia']"
5147,"['Redmond (Due east of', ' beyond Issaquah', ' near mtns.)', ' WA', ' USA']"
5160,"['Reno (30 miles due east of', ' in California)', ' CA', ' USA']"
5279,"['Atlanta (E of', ' near the LA border)', ' TX', ' USA']"
5290,"['Bejuma', ' Edo. Carabobo', ' Caracas (Venezuela)', ' Venezuela']"
5296,"['Paramus (Route 4', ' eastbound lane)', ' NJ', ' USA']"
5345,"['Sierra/Plumas Counties (between', ' while camping)', ' CA', ' USA']"
5374,"['Carlinville (from', ' until almost Carrollton)', ' IL', ' USA']"
5380,"['Clovis (on Herndon Ave', ' between Maine & Locan Avenues)', ' CA', ' USA']"
5395,"['Pequop Pass (180', ' east bound starting up pass)', ' NV', ' USA']"
5432,"['Maricopa (4 miles west of', ' on Hwy 166)', ' CA', ' USA']"
5457,"['Hudson Valley', ' NY/Danbury', ' CT (near Taconic Parkway)', ' CT', ' USA']"
5540,"['Marysville/Beale A', ' F.B.', ' CA', ' USA']"
5544,"['Seattle (south', ' 8600 block E Marginal Way South)', ' WA', ' USA']"
5569,"['Conway (I-40 north of', ' mile marker 120)', ' AR', ' USA']"
5591,"['Central U.S. (enroute', ' in-flight)', ' ND', ' USA']"
5641,"['St. Charles (1.5 mi north of', ' Randall Road)', ' IL', ' USA']"
5649,"['Lincoln (approx 3 miles east of', ' on Hwy 193)', ' CA', ' USA']"
5665,"['Point Marion (near', ' 60 miles south of Pittsburgh)', ' PA', ' USA']"
5712,"['Johnson City (over', ' northern sky)', ' NY', ' USA']"
5743,"['Blithe (around; about 15 mins after', ' heading to LA)', ' CA', ' USA']"
5764,"['Bishop (towards', ' on Route 395 North)', ' CA', ' USA']"
5767,"['Barstow (aprox 35 mi west of', ' Mojave desert)', ' CA', ' USA']"
5793,"['Spokane (14 Miles North of)', ' Deer Park (1/2 mile south of)', ' WA', ' USA']"
5822,"['Chowchilla (south of', ' Madera County)', ' CA', ' USA']"
6097,"['Gila Bend (G.B.AUXILLARY FIELD', ' )', ' AZ', ' USA']"
6112,"['Mumbai', ' MAH (India)', ' MB', ' India']"
6126,"['Encinitas: along I-5', ' from encinitas to oceanside over ocean', ' CA', ' USA']"
6133,"['Interstate 40', ' East Bound', ' NC', ' USA']"
6176,"['Washington', ' D.C.', ' DC', ' USA']"
6179,"['Ward (northeast of', ' on Hwy. 67/167MM 25)', ' AR', ' USA']"
6277,"['Carson (the city of', ' near L.A. Airport)', ' CA', ' USA']"
7044,"['Parkersburg (just outside of', ' on route 50 east)', ' WV', ' USA']"
7136,"['Chicago (about 50 miles south of', ' I-55 south)', ' IL', ' USA']"
7575,"['Brighton (E. of', ' N. of South Lyon', ' MI)', ' MI', ' USA']"
7631,"['Tucson (28 miles north of', ' 233 MM I-10)', ' AZ', ' USA']"
7659,"['Orange (W/B SR-22', ' Garden Grove Fwy', ' @ Main St.)', ' CA', ' USA']"
7667,"['Lake Henshaw/La Jolla Indian Res. (between', ' Hwy. 76)', ' CA', ' USA']"
7718,"['Yuma (desert', ' on Olgiby Rd.', ' 16 mi. ne. of  Yuma)', ' AZ', ' USA']"
7731,"['Vantage (Eof', ' across Columbia River)', ' WA', ' USA']"
7742,"['VLA Radio Telescope (near', ' Hwy. 60)', ' NM', ' USA']"
7749,"['Grantsville', ' W.V.', ' WV', ' USA']"
7760,"['Wilshire (405 Freeway', ' Northbound to)', ' CA', ' USA']"
7769,"['Snohomish Co. (Mountainous area', ' camping)', ' WA', ' USA']"
7776,"['America West flt 2620 (Phoenix-Oakland', ' NV-CA)', ' CA', ' USA']"
7788,"['Madera (17 mi. e. of', ' near Hensley Lake)', ' CA', ' USA']"
7872,"['Des Moines (east of', ' 152 mm on I-80)', ' IA', ' USA']"
7901,"['Santa Margarita/Atascadero (between', ' Hwy 101)', ' CA', ' USA']"
7929,"['West Coast', "" alt. apx 30' k"", ' northerly flight', ' CA', ' USA']"
7940,"['Interstate 10', ' somewhere by the border', ' CA', ' USA']"
7967,"['Golden (I-70 E', ' by exit for)', ' CO', ' USA']"
7990,"['Johnson Park', ' NE CA.', ' Shasta Co.', ' calif', ' CA', ' USA']"
8090,"['Lincoln City/Newport (between', ' Otter Crest)', ' OR', ' USA']"
8107,"['Butte (Approx 40 miles S. of', ' on NB Interstate 15)', ' MT', ' USA']"
8115,"['Spranger (near', ' 5 mi. east of Interstate 25)', ' CO', ' USA']"
8129,"['Spring Valley (Viewed from', ' San Diego Co.)', ' CA', ' USA']"
8216,"['Laughlin (into Bullhead City', ' AZ)', ' AZ', ' USA']"
8313,"['Jasper  (5 miles S.E. from Springfield', ' OR)', ' OR', ' USA']"
8445,"['Battle Creek (Three Rivers event', ' near event 1)', ' MI', ' USA']"
8463,"['Columbus (north of', ' at the 160mile post)', ' OH', ' USA']"
