ufo_id,location
86593,"46  06  16,97N 19  37  40,93E  to  45  58  20,88N 19  06  31.46E"
165562,"Statesville Rd, heading south, parked at a stop light. Burger king to my right, mattress firm & Wells Fargo to my left. Coordinates: Latitude: 35,442609 Longitude: -80,865709"
165689,Latitude: 36.449685 / N 36° 26' 58.866'' Longitude: -83.668320 / W 83° 40' 5.953
165693,"39.0428658,-94.658476"
165703,18 miles south of Worcester. 120° South east
165704,"41.61912° N, 79.73683° W"
165728,24.59488 N & 81.66633 W (102 Shore Ave)
165819,"40.72022096122338, -73.95315290436655"
166034,"Lost Lake Resort, (34.0106144, -114.4750503)"
166192,about 14° North
166213,"GPS: 40.55310858051764, -74.09871256812676"
166247,"44.526958, -73.167130"
166258,"My location 36.1426, -115.0884 approximate location of the object 36.0604, -1149693"
166321,"(41.3137258, -89.5194417) 8F7J+F6V Tiskilwa, Illinois"
166430,93.232756 44.961233
166494,"Arena Road North, object appeared in nothern sky, between Polaris&Cassiopia, about 20°above horizon"
166538,N33 87 3940 W 112 045 3050
166542,"33.53811143611398, -112.06450594754094"
166553,"LAT: 36 degrees 16' 49.047"" LONG: -94 degrees 12' 47.25"""
166643,"33.557146,-111.499882https://maps.app.goo.gl/WFks86T2Qw6bS7fk8"
166842,"Latitude and longitude coordinates are: 47.258728, -122.465973."
166872,"https://zoom.earth/#view=29.098842,-118.418313,21z/layers=fires"
166896,"39.89091, -110.77331"
166910,Corner of Orange street and Gray st. Coordinate Lat: 38.157171 Long:-79.096337
166959,"30°22'48.4""N 81°23'16.7""W"
166986,"42.91320° N, 85.67040° W"
167030,"Looking South, about 30° up"
167058,"47°58'04.8""N 116°08'46.7""W47.968006, -116.146291 *google maps* 47.968006 -116.146291"
167346,"27.2046° N, 77.4977° E As seen from 2nd floor deck of apt building"
167369,"35.94746° N, 83.66439° W On the bank of French Broad River"
167402,"37.36108, -108.95365"
167406,"Over water. Viewed from around area 32°33'37.7""N 80°09'44.5""W (on maps)"
167455,"(39.4551941, -123.2592882)"
167577,I was walking west up my driveway looking up at about a 75° angle
167591,"38°12′9″N 97°31′7″W (38.202497, −97.518506) looking west"
167610,"Saint James, Missouri at 38.007, -91.624 facing south westerly"
167649,"26.355345838363203°N, 86.07788999067768°E"
167702,"(52.6901576, 14.8725613)"
167703,"34,04765° N, 118,25036° O"
167708,"Our campsite location 33°10'58.4""N 116°07'08.4""W, Location of UFO (33.1797272, -116.1101192)"
167711,"Camera at Elevation 4790 ft, 46.24 °N, 112.13 °W pointing Northeast"
167724,"Above Lansdowne Condominiums: viewed approx. 41.138,-73.306 to 41.135,-73.305, to 41.135,-73.307"
167922,"34.069890,-84.619196"
168165,Long 49.7130181 Lat -112.8308633
168168,"corner of Athens Ave and Homer Road, South Amboy, NJ 08879 40.432458, -74.292070"
168295,"51.49894° N, 0.32433° W"
168311,"(41.9973581, -88.6609353) Traveling East on Mt. Hunger Rd"
168387,43.567987214814686 -76.20646261617189
168394,"Appx GPS location of where I was sitting on the lake 37.579187, -93.680892"
168514,Sighting NW of Lat: 27.81353 degrees and Lng: -82.79542 degrees
168530,"38.9626095°N, -78.0391638°W"
168599,"43.9326041, -70.5299041"
168779,"39.1759666, -94.4763738"
168813,"30.50046° N, 86.47828° W"
170099,GPS: 46.02.00.38N 118.22.06.24W Elevation 252 meters \ 827'
170229,"lat. 040°34'52""N Lon. 075°46'42""W"
170257,"42.1689984 , -71.215252"
170305,Seen onDunstanburgh close outside flat no 67. Ufo seen around 1-2 mile W travel 95°E (uneducatedgues
170339,"Land Coordinates 36.519400,-82.692400 in sky near and under star Deneb-star in Cygnus"
170346,"44.480,-93.434 orb moving and flashing"
170393,"41.095925,-73.415939"
170407,"196° S42°31'56"" N 90°26'33"" W Hazel Green, Wl 940 ft Elevation"
170507,"48.31 N 134.88 E, clear weather, light wind, warm temperature"
170796,"Video taken from -35.84874, 150.17744, looking ca. south"
170909,36°50 N 82°45 W
170946,MGRS/18T XM 92401 66613
170947,"34°36'05""N 117°05'34""W"
170989,"SW Sky from Approx. 42.635, -74.567"
171369,"37.79698362441433, -122.23649045969829"
171420,Latitude is 36.175980 - Longitude is -115.352900
171443,"38°04'33.1""N 84°55'02.0""W"
171495,"From town, looking south at an angle of about 50-60°"
171574,"(40°15’28”N 75°04’49”W) Facing north almost directly, with slight westward orientation."
171658,"Approximate Coordinates 40.0920800, -76.4618682"
171683,"34.34980652294678, -92.8983859715863, just as we turned the curve we saw it."
171691,"45.228553, -93.380802"
171717,"Fawn Valley Subdivision. Coordinates 39.340420, -104.464190"
171861,"40.649, -115.406 campsite"
171947,"Miles highschool track Field 31.6044881, -100.1931476"
172027,"40.721,-74.336"
172051,"42.15677° N, 83.69024° W. Saw it while driving over the bp in the field"
172131,NE sky (45°)
172132,NE sky (45°)
172161,39.51.15N 121.120.1W
172248,"37°55'42""N 122°30'57""W · -0.55 ft"
172462,"29.81050° N, 95.70680° W"
172494,"(34.7387777, -111.9995421)"
172545,"33.023500, -80.157900"
172632,"20.8691° N, 73.1749° E"
172706,"42.16813° N, 91.78482° W; just south of intersection of Wildlife Rd and W36"
172710,"28.087944,-82.452372"
172717,"44.069361, 22.334115"
172743,"Driving northbound on Chuckanut Dr 48.53838° N, 122.39887° W"
172764,"30.835226245981115, -88.08962925532254"
172840,"39°15'21.2""N 81°34'13.6""W"
172901,"(37.8928599, -122.0554216)"
172981,"43.501088,-88.589992"
173017,"39.196,-96.493"
173028,"38.0250000, -117.7060000"
173054,"40.4020981,-105.0915888"
173059,40.436-104.957
173136,"33.287704,-80.375758"
173139,43:21.137n. -070:33.823w. Behind our house.
173160,"37,49225° N, 4,45754° O"
173166,"40.70571° N, 75.17204° W direction 330 deg"
173177,"(39.1315684, -74.7044597)"
173333,"South-East side of Diverting Reservoir (41.3757854, -73.6351142)"
173385,"We were on Wallace Rd. NW , the ufo was around 44°58'00""N 123°03'25""W • 152 ft"
173496,"Over the mouth of the Chesapeake Bay approx N37.00W076.00 10,000ft MSL"
173703,"Latitude 40.7648, Longitude 73.9808"
173738,"42.5621765, -71.7866159"
173752,"viewed from 40°10'29.43""N 74°03'09.94""W; overcast with 2600' cloud ceiling"
173822,"Viewing ENE from Lat 40.4469 Lng 75.07295, approx 3 fingers off horizon"
173827,"29.248127,-82.148973"
173968,"28.24182, -98.47282. (Coordinates)"
174020,"39.42191° N, 76.40048° W"
174029,About 50-60° from Eastern Horizon
174170,"31.90401° N, 35.80375° E"
174191,"52.524158, -1.992520"
174247,"32.84461° N, 116.44306° W"
174252,"Pratap Nagar sector 3. Opp Haldighati Gate, Sanganer. latitude 26.80309111 longitude 75.805471"
174265,"27.74853° N, 80.82761° W"
174313,"37°47'13.7""N 117°13'15.2""W  (between goldfield and tonopah- Hasbrouck Peak."
174394,"200 miles apart, same elevation and brightness. East-northeast, 20° from horizon"
174478,"46°03'03.4""N 118°30'34.8""W"
174508,"-12.09557733464195, -77.02848850206982"
174593,"I was on a flight taking pictures of the mountains (33.41, -112.083)"
174596,"object moving from south to north at a fast rate 47.1301 N, 119.2781 W."
174740,"21.071691,-89.666312"
174746,"60.4646765, -134.8399167"
174772,39° 31' 56.2548'' N75° 2' 10.0788'' W
174788,"52°49'52.6""N 2°07'11.5""W"
174820,It was first sighted over three oaks lake. It heard down randle then made a 90° turn over a field.
175005,"32.85061° N, 115.59729° W"
175014,N29.26* W131.02*
175028,Latitude 33.080608 Longitude -96.892831
175031,The 6 UFO were over El Poblado Neighborhood .GPS Latitude 6.207856 Longitude.-75.568402
175033,"33.4067709, -111.9278064...pulled over in parking lot to take pic"
175071,"40.666370, 14.801512"
175088,"36.55490° N, 79.01480° W"
175113,"44.05822° N, 92.47172° W"
175114,"34.03406° N, 80.97094° W"
175178,"40.155947,-82.424396 mostly fields two rows of trees which ran parallel alongside a train track."
175300,"52.2171044, 0.3037045"
175365,"39.3341886218341, -85.59868082195416"
175405,"47.6536759, -117.4362138"
175442,"On highway 285 — approx coordinates 35.26558° N, 105.80431° W"
175489,"43.5595771, -96.6729587"
175552,46.65691538036963 -96.3603019201941
175633,Lat: 15.773000 Long: -93.374229
175674,"(42.2354154, -83.7579666)"
175812,"34.44256 N 119.75066 W, Facing Sounth, Iphone pointed up ~ 80 degrees"
175833,"44.280928,-123.022811"
175920,239° NW of 39 old driftway Wilton ct
175952,approx. 93.4 W; 33.4N
175955,Southern Sky 45°
175969,Latitude: 34.114426 / N 34° 6' 51.932''Longitude: -77.884845 / W 77° 53' 5.442''
175983,36°03′39″N 107°57′42″W﻿ / ﻿36.0607°N 107.9617°W﻿ / 36.0607; -107.9617
176014,"Above the jungle canopy. GPS: 18.3507078, -66.4922341"
176088,Soggy dry lake bed vid details pin me at 42920 Carmer Rd vid taken looking N -N/E roughly 50°
176115,"31.03699° N, 81.41458° W - on the beach just outside of the Residence Inn and Courtyard by Marriott"
176215,Object seen 117° from the intersection of Kelso Rd and Shalimar Dr .25.8 degrees (approx) from level
176248,"35.1671761244123, -79.32732573807961"
176257,"51.486328,-0.190220 (Brompton Cemetary, London, Uk)"
176310,"Appeared over 47.6798° N, 122.0169° W towards and over Mnt Rainier 46.8523° N, 121.7603° W"
176465,"36.77808° N, 120.68420° W"
176539,N40°02.632. W73°58.499
176546,90° angle from the moon
176671,60°27'N / 22°16'E
176704,"County park, open field, next to trees, and a lake. 41.4654674, -79.7697970"
176726,"36.794940, -4.373913"
176741,"43.11824613820986, -84.7746931744684"
176778,"31.997470, 44.353483"
176925,"Standing in front of my home (coordinates 30.3980190N, -90.0832310) looking east, southeast."
177027,southwest reno…traveling east to west…coordinates 39.5299N. …119.8143W……. N.
177149,"41° 22' 29""N 71° 50' 00""W"
177170,40°46'45''N/73°56'25''W
177216,"Diamond Head Crater 21.26614° N, 157.81542° W"
177234,"37.2153924, -76.6734613"
