ufo_id,location
86593,"Subotica, Serbia"
165562,"Huntersville, NC, USA"
165689,"New Tazewell, TN, USA"
165693,"Mission, KS, USA"
165703,"Worcester (18 miles SE of), MA, USA"
165704,"Titusville, PA, USA"
165728,"Big Coppitt, FL, USA"
165819,"Brooklyn, NY, USA"
166034,"Blythe, CA, USA"
166192,"Foxboro, MA, USA"
166213,"Staton Island, NY, USA"
166247,"Colchester, VT, USA"
166258,"Las Vegas, NV, USA"
166321,"Tiskilwa, IL, USA"
166430,"Minneapolis, MN, USA"
166494,"Lead Hill, AR, USA"
166538,"New River, AZ, USA"
166542,"Phoenix, AZ, USA"
166553,"Cave Springs, AR, USA"
166643,"Saguaro Lake (Mesa), AZ, USA"
166842,"Tacoma, WA, USA"
166872,"N/A - Pacific Ocean west of Guadalupe Island, Mexico"
166896,"Helper, UT, USA"
166910,"Staunton, VA, USA"
166959,"Jacksonville, FL, USA"
166986,"Grand Rapids - Godwin Heights, MI, USA"
167030,"Bethlehem, PA, USA"
167058,"Dalton Gardens, ID, USA"
167346,"Danvers, MA, USA"
167369,"Sevierville, TN, USA"
167402,"Near Cortez, CO, USA"
167406,"SeaBrook Island, SC, USA"
167455,"Willits, CA, USA"
167577,"Akron, OH, USA"
167591,"Moundridge, KS, USA"
167610,"Saint James, MO, USA"
167649,"Madhubani, Bihar, India"
167702,"Witnica, Poland"
167703,"Los Angeles, CA, USA"
167708,"Ocotillo wells, CA, USA"
167711,"Boulder Valley, MT, USA"
167724,"Westport, CT, USA"
167922,"Acworth, GA, USA"
168165,"Lethbridge, AB, Canada"
168168,"Old Bridge, NJ, USA"
168295,"London, London Borough of Ealing, United Kingdom"
168311,"Sycamore, IL, USA"
168387,"Pulaski, NY, USA"
168394,"Stockton Lake, MO, USA"
168514,"St Petersburg, FL, USA"
168530,"VA, USA"
168599,"Casco, ME, USA"
168779,"Kansas City, MO, USA"
168813,"Niceville, FL, USA"
170099,"Walla Walla, WA, USA"
170229,"Kutztown, PA, USA"
170257,"Norwood, MA, USA"
170305,"Washington, United Kingdom"
170339,"Church Hill, TN, USA"
170346,"Lonsdale, MN, USA"
170393,"Norwalk, CT, USA"
170407,"Hazel Green, WI, USA"
170507,"Khabarovsk, Khabarovsk Krai, Russia"
170796,"Mossy Point, New South Wales, Australia"
170909,"Big Stone Gap, VA, USA"
170946,"West Springfield, MA, USA"
170947,"Apple valley, CA, USA"
170989,"Richmondville, NY, USA"
171369,"Oakland, CA, USA"
171420,"Las Vegas, NV, USA"
171443,"Lawrenceburg, KY, USA"
171495,"Stevensville, MT, USA"
171574,"Jamison, PA, USA"
171658,"Mount Joy, PA, USA"
171683,"Oak Grove, AR, USA"
171691,"Anoka, MN, USA"
171717,"Kiowa, CO, USA"
171861,"Lamoille Canyon, NV, USA"
171947,"Miles, TX, USA"
172027,"Summit, NJ, USA"
172051,"Milan, MI, USA"
172131,"Smyrna, TN, USA"
172132,"Smyrna, TN, USA"
172161,"Rocklin, CA, USA"
172248,"Corte Madera, CA, USA"
172462,"Katy, TX, USA"
172494,"Cottonwood, AZ, USA"
172545,"Summerville, SC, USA"
172632,"Navsari, Village - Kangwai, Gujarat, India"
172706,"Center Point, IA, USA"
172710,"Tampa, FL, USA"
172717,"road 35 between Zajecar-Negotin, Zaječar District, Serbia"
172743,"Bow, WA, USA"
172764,"Saraland, AL, USA"
172840,"Parkersburg, WV, USA"
172901,"Walnut Creek, CA, USA"
172981,"horicon, WI, USA"
173017,"St George, KS, USA"
173028,"NV, USA"
173054,"Loveland, CO, USA"
173059,"Windsor, CO, USA"
173136,"Holly Hill, SC, USA"
173139,"Wells, ME, USA"
173160,"Cabra, Córdoba Province, Spain"
173166,"Lopatcong, NJ, USA"
173177,"Sea Isle, NJ, USA"
173333,"Brewster, NY, USA"
173385,"West Salem, OR, USA"
173496,"Virginia Beach, VA, USA"
173703,"Near Hagerstown, MD, USA"
173738,"Fitchburg, MA, USA"
173752,"Wall Township, NJ, USA"
173822,"Kingwood, NJ, USA"
173827,"Ocala, FL, USA"
173968,"Ranch S/W of Tilden, TX, USA"
174020,"Kingsville, MD, USA"
174029,"Hayes, VA, USA"
174170,"Amman, Amman Governorate, Jordan"
174191,"West Bromwich, West Midlands, Warwickshire, United Kingdom"
174247,"Julian, CA, USA"
174252,"Jaipur, Rajasthan, India"
174265,"Vero Beach, FL, USA"
174313,"Between Goldfield and Tonopah, NV, USA"
174394,"Lincoln, NE, USA"
174478,"Walla Walla, WA, USA"
174508,"San Isidro, Lima, Peru"
174593,"Phoenix, AZ, USA"
174596,"Moses Lake, WA, USA"
174740,"Mérida, Yucatán, Mexico"
174746,"Whitehorse, YT, Canada"
174772,"Vineland, NJ, USA"
174788,"Stafford, Staffordshire, United Kingdom"
174820,"Crystal lake, IL, USA"
175005,"Imperial, CA, USA"
175014,Unspecified
175028,"The Colony, TX, USA"
175031,"Medellin, Antioquia Department, Colombia"
175033,"Tempe, AZ, USA"
175071,"Salerno, Campania, Italy"
175088,"Alton, VA, USA"
175113,"Rochester, MN, USA"
175114,"COLUMBIA, SC, USA"
175178,"St. Louisville, OH, USA"
175300,"Cambridge, Cambridgeshire, United Kingdom"
175365,"GREENSBURG, IN, USA"
175405,"Spokane, WA, USA"
175442,"Stanley, NM, USA"
175489,"Sioux Falls, SD, USA"
175552,"Barnesville, MN, USA"
175633,"Hoschton, GA, USA"
175674,"Ann Arbor, MI, USA"
175812,"Santa Barbara, CA, USA"
175833,"Harrisburg East of I5, OR, USA"
175920,"Wilton, CT, USA"
175952,"Caddo Gap, AR, USA"
175955,"Nicholasville, KY, USA"
175969,"Wilmington, NC, USA"
175983,"Pueblo Bonito, NM, USA"
176014,"Ciales, PR, USA"
176088,"Lucern Valley, CA, USA"
176115,"Jekyll Island, GA, USA"
176215,"Sandy, OR, USA"
176248,"Vass, NC, USA"
176257,"London, Royal Borough of Kensington and Chelsea, United Kingdom"
176310,"Seattle, WA, USA"
176465,"Firebaugh, CA, USA"
176539,"Approx. 2.5 NM off coast of Sloop Point, NJ, USA"
176546,"Ashford, Kent, United Kingdom"
176671,"Turku, Varsinais-Suomi, Finland"
176704,"F68J+53P Sugarcreek, PA, USA"
176726,"Malaga, Málaga Province, Spain"
176741,"Hubbardston, MI, USA"
176778,"31.997470, 44.353483, Najaf Governorate, Iraq"
176925,"Mandeville, LA, USA"
177027,"Reno, NV, USA"
177149,"Pawcatuck, CT, USA"
177170,"New York, NY, USA"
177216,"Honolulu, HI, USA"
177234,"Williamsburg, VA, USA"
177521,"Breckenridge, TX, USA"
177564,"Las Vegas, NV, USA"
177756,"Pensacola, FL, USA"
177811,"Vista, CA, USA"
177817,"San Antonio, TX, USA"
177858,"Strømstad, Västra Götaland County, Sweden"
177971,"Columbus, OH, USA"
178075,"Colorado Springs, CO, USA"
178253,"Mississauga, ON, Canada"
178254,"Mississauga, ON, Canada"
178257,"Toronto, ON, Canada"
178269,"Kowal, Kuyavian-Pomeranian Voivodeship, Poland"
178308,"Levittown, NY, USA"
178362,"Columbus, IN, USA"
178428,"Acton, MA, USA"
178430,"Acton, MA, USA"
178549,"Columbia, MD, USA"
178558,"flagler beach, FL, USA"
178643,"Madison, MS, USA"
178656,"Glenella, MB, Canada"
178657,"Harden, Bradford, United Kingdom"
178664,"Jacksonville, FL, USA"
178667,"Victor, NY, USA"
178841,"Blanco, TX, USA"
178849,"Parsippany-Troy Hills, Pyramid Mountain, Taylortown, NJ, USA"
179160,"Brzeziny, Witkowice Łódzkie, Łódź Voivodeship, Poland"
179291,"Canton, OH, USA"
179296,"San Diego, CA, USA"
179320,"Fredericksburg, VA, USA"
179343,"Mill Valley, CA, USA"
179356,"Bridgewater, VA, USA"
179369,"Topeka, KS, USA"
179392,"Jersey City, NJ, USA"
179419,"Burbank, WA, USA"
179437,"Sun City West, AZ, USA"
179456,"Allentown, PA, USA"
179463,"Reynolds, MO, USA"
179467,"Grand Island, NY, USA"
179477,"South Gate, CA, USA"
179494,"Cooloongup, Western Australia, Australia"
179507,"Sigel, IL, USA"
179521,"New Lenox, IL, USA"
179551,"Washington, NJ, USA"
179608,"Gurabo, Puerto Rico"
179611,"Melbourne, FL, USA"
179666,"Marquette-lez-Lille, Hauts-de-France, France"
179678,"Pearland, TX, USA"
179709,"Smiths Station, AL, USA"
179710,"Fort Irwin, CA, USA"
179711,"Myrtle Beach, SC, USA"
179712,"Brooklyn, NY, USA"
179717,"Pawleys Island, SC, USA"
179720,"Rehoboth Beach, DE, USA"
179729,"Ooltewah, TN, USA"
179757,"Kelso, WA, USA"
179772,"Hope, ME, USA"
179803,"Allerton, England, United Kingdom"
179849,"Reheboth Beach, DE, USA"
179919,"Brookhaven, NY, USA"
179947,"Kelso, WA, USA"
179955,"Gun Barrel City, TX, USA"
180006,"Enterprise, NV, USA"
180018,"Waseca, MN, USA"
180021,"Nolensville, TN, USA"
180024,"Portage, MI, USA"
180042,"La Pine, OR, USA"
180044,"Bonney Lake, WA, USA"
180083,"Ross, OH, USA"
180126,"Greenwich, CT, USA"
180141,"Mayflower, AR, USA"
180151,"Topeka, KS, USA"
180153,"Frederick, MD, USA"
180155,"Blythe, CA, USA"
180162,"Rochester, NY, USA"
180173,"Pueblo West, CO, USA"
180175,"Saylorsburg, PA, USA"
180199,"Orlando, FL, USA"
180225,"Avoca Beach, New South Wales, Australia"
180282,"Charlottetown, PE, Canada"
180304,"Obergoms VS, Wallis, Switzerland"
180315,"Brandon, MS, USA"
180334,"CO, USA"
180387,"Buckner, AR, USA"
180400,"Whitman, MA, USA"
180411,"Monroeville, PA, USA"
180443,"Glenpool, OK, Unspecified"
180453,"Eastham, MA, USA"
180484,"Manawa, WI, USA"
180487,"Raleigh, NC, USA"
180495,"Cape Town, Western Cape, South Africa"
180538,"Lordelo, Porto, Portugal"
180555,"San Diego, CA, USA"
180563,"Tazewell, TN, USA"
180586,"Selwyn, Victoria, Australia"
180607,"Mungeranie, South Australia, Australia"
180608,"Piedmont, MO, USA"
180610,"Liverpool, England, United Kingdom"
180620,"Kleive, Møre og Romsdal, Norway"
180661,"Felton, CA, USA"
180706,"Anaheim, CA, USA"
180732,"Amarillo, TX, USA"
180733,"Alanya, Antalya, Turkey"
180746,"Corona, CA, USA"
180755,"Lowville, NY, USA"
180757,"Jeannette, PA, USA"
180778,"Hermanus, Western Cape, South Africa"
180789,"Palm Springs, CA, USA"
180808,"Oscoda, MI, USA"
180820,"Kettle Falls, WA, USA"
180867,"Mattoon, IL, USA"
180874,"San Antonio, TX, USA"
180878,"Las Vegas, NV, USA"
180908,"Lawrenceville, GA, USA"
180925,"Copperas Cove, TX, USA"
180928,"Waco, TX, USA"
180934,"Weare, NH, USA"
180964,"Oak Harbor, WA, USA"
180972,"Meridian, PA, USA"
180997,"New York, NY, USA"
181009,"Bakersfield, CA, USA"
181059,"Cocoa Beach, FL, USA"
181062,"Rock Island, IL, USA"
181086,"Tamil Nadu, India"
181092,"Shippensburg, PA, USA"
181102,"Arceburgo, Minas Gerais, Brazil"
181150,"Centennial, CO, USA"
181157,"Lakewood Ranch, FL, USA"
181164,"Matagorda, TX, USA"
181205,"Hadley, NY, USA"
181212,"Las Vegas, NV, USA"
181216,"Bremen, OH, USA"
181275,"Royal Palm Beach, FL, USA"
181308,"Dayton, OH, USA"
181323,"Montréal-Est, QC, Canada"
181333,"Twin Falls, ID, USA"
181343,"Farmersville, CA, USA"
181386,"Noblesville, IN, USA"
181443,"Yonder Way, AZ, USA"
181444,"Lewisville, NC, USA"
181447,"Perris, CA, USA"
181470,"York, ME, USA"
181490,"Honolulu, HI, USA"
181495,"Los Médanos, Baja California, Mexico"
181499,"Warrington, England, United Kingdom"
181502,"Levittown, NY, USA"
181524,"Gerlach, NV, USA"
181533,"Sultan, WA, USA"
181554,"Rainhill, England, United Kingdom"
181601,"Pinole, CA, USA"
181617,"New Port Richey, FL, USA"
181624,"Menomonie, WI, USA"
181653,"Gila Cliff National Monument, CO, USA"
181662,"Oostende, West Flanders, Belgium"
181666,"East Olympia, WA, USA"
181671,"Konnaiyur, Tamil Nadu, India"
181673,"Menomonie, WI, USA"
181683,"Niagara, WI, USA"
181688,"Windham, ME, USA"
181695,"Tucson, AZ, USA"
181716,"AZ, Bahamas"
