ufo_id,location
22177,Space via nasa tv
48638,Pacific Ocean (in-fight)
49191,Pacific Ocean ( between Philippines and Japan )
151430,Portereco  2 miles of the coast
1976,"Cancun (Melia Turquesa Hotel) (Mexico), Mexico"
2067,"Gothenburg (Sweden), Sweden"
2114,"Subic Bay (Philippines), Philippines"
2189,"Fos sue Mer/Salon de Provnce (Between) (France), France"
2265,"Halandri (Near Athens) (Greece), Greece"
2524,"Hull (UK/England), United Kingdom"
2593,"London (Chingford Hatch) (UK/England), United Kingdom"
2904,"Aswan (Egypt), Egypt"
2998,"Bremen (30 km south of) (Germany), Germany"
3061,"Swadlincote Nr Burton upon Trent (UK/England), United Kingdom"
3160,"Southampton (Hampshire) (UK/England), United Kingdom"
3323,"San Felipe (driving south to) (Mexico), Mexico"
3346,"North America, Bermuda"
3382,"South Abaco (Bahamas), Bahamas"
3397,"Lichfield (near); Staffordshire (UK/England), United Kingdom"
3401,"Plaka (Naxos) (Greece), Greece"
3505,"Santo Domingo (Dominican Republic), Dominican Republic"
3510,"Cahas National Park (Ecuador), Ecuador"
3943,"Antarctica (Ross Ice shelf) (Antarctica), Antarctica"
4058,"East Finchley (London) (UK/England), United Kingdom"
4080,"Cordillera de los Andes (Coya Rancagua) (Chile), Chile"
4194,"Paraparaumu (Kapiti Island) (New Zealand), New Zealand"
4253,"Groningen (Winschoten - Groningen Highway) (Netherlands), Netherlands"
4263,"Seattle to Tokyo (2 NWA flt 007), Pacific Ocean"
4301,"Morelos (rural area) (Mexico), Mexico"
4615,"South Eastern Coast (Republic of Ireland), Ireland"
4626,"Dublin (Blanchardstown)  (Republic of Ireland), Ireland"
4713,"Barrigada (Marianas Islands/Guam), Guam"
4794,"Kaiapoi  Christchurch (New Zealand), New Zealand"
4796,"Wadley (5 hrs from San Luis Opsipo) (Mexico), Mexico"
4822,"Bath (UK/England), United Kingdom"
4833,"Braintree and RAF Weatherfield (between) (UK/England), United Kingdom"
4888,"Sunderland (UK/England), United Kingdom"
5008,"Tjorn (Sweden), Sweden"
5047,"outer space, Unspecified"
5168,"Senftenberg (Germany), Germany"
5577,"Atlantic Ocean (Troopship/ USS ROSE), Atlantic Ocean"
5666,"Sinop (Turkey), Turkey"
5714,"Oudenaarde and Maarkedal (between) (Belgium), Belgium"
5778,"Mykonos Island (Greece), Greece"
5781,"Guilford (UK/England), United Kingdom"
5805,"Bochum (Germany), Germany"
5806,"Dublin (North County) (Republic of Ireland), Ireland"
5922,"Baumholder (Germany), Germany"
6085,"Aandurah (Western Australia), Australia"
6124,"Sinai Peninsula (Egypt), Egypt"
6140,"Kiev (Ukraine), Ukraine"
6144,"Klaksvik (Finland), Faroe Islands"
6160,"Lierskogen (Norway), Norway"
6832,"San Antonio (Ibiza) (Spain), Spain"
6960,"Druskenenky (70 km nort of) (Latvia), Latvia"
7603,"Santo Domingo (Dominican Republic), Dominican Republic"
7861,"Newcastle-upon-Tyne (UK/England), United Kingdom"
7875,"Castlefod (UK/England), United Kingdom"
7911,"Atlantic Ocean (between San Juan and U.S. Virgin Isl.), San Juan and St. Thomas USVI"
7941,"Corby (UK/England), United Kingdom"
7948,"NASA Space Shuttle, Unspecified"
7992,"Pacific Ocean (approx. 250 mi. over), In orbit in space"
8059,"Bispham (Blackpool) (UK/England), United Kingdom"
