ufo_id,location
2054,"East Detroit (eastpoint0, MI, USA"
2196,"Chinquipin (Matagorda county, 10 miles southeast of se, TX, USA"
2298,"McDermitt (NE of;  Lat 42 05'N  Lon 117 00'W, NV, USA"
2812,"Childress (approx 20 miles north of, TX, USA"
2956,"I-95 (outside the Maine state border, NH, USA"
4073,"Silverdale (near Seattle) Across from NSB Bangor (Trident Su, WA, USA"
4223,"Northridge (suburb of Los Angeles in the San Fernando Valley, CA, USA"
4280,"Hubbard, (approx 30 mi. south of Portland, OR, USA"
4616,"Bonmahon (County Waterford (Republic of Ireland), Ireland"
5632,"Navarre Beach (other end of pensacola beach, FL, USA"
7605,"Primm (5 miles west of, on I-15 Westbound, NV, USA"
8329,"Lamar ((LAA), (NE of, FL310, 10 deg. above hor.), CO, USA"
9812,"Verhalen (between Balmorea & Pecos, TX, USA"
10421,"Addison (I-355 and US 20 (Lake St.), IL, USA"
11041,"Paris / Arc de Triomph (2 furlongs from it (France), France"
11870,"Hwy. 15 (S)/Hwy. 72 intersection, 1 mi. E of), MS, USA"
12249,"Buckeye (1-10 milepost 107 heading eastbound, AZ, USA"
12359,"Omaha (72nd & State street, NE, USA"
13004,"Ogdensburg (over the St Lawrence River on the Canadian borde, NY, USA"
13714,"Arizona (city unknown_, AZ, USA"
17290,"Black Canyon (N. of, on I-17, AZ, USA"
26930,"Espoo (Kilo) (Finland)), Finland"
27219,"Haworth ((UK/England), United Kingdom"
27307,"Dun Laoghaire (County Dublin (Republic of Ireland), Ireland"
30365,"Regina (Canada, SK, Canada"
30392,"Hopkinsville ((west of, on I-24), KY, USA"
30459,"London UK/England), United Kingdom"
33772,"Vaucouleurs (LorFrance, France"
33993,"Illinois (Northern) (on I-90, about 150?mi. N.Ill., WI, USA"
43159,"Berkeley (St. Louis suburb, near Lambert Airport)), MO, USA"
43499,"Sunbury (inflight; location unknown, PA, USA"
43569,"Glasgow (UK/Scotland)), United Kingdom"
44259,"Yorkeys Knob (North of Cairns) (QLD, Australia)), Australia"
44472,"Dateland (just before, AZ, USA"
45479,"In orbit (space, In orbit (space)"
48741,"Sydney (Australia)), Australia"
48758,"Nottingham (UK/England, United Kingdom"
48833,"Karachi ) (Alostam) (Pakistan), Pakistan"
49060,"Ft. Resolution (near) (NWT) Canada), NT, Canada"
49334,"West London (UK/England, United Kingdom"
